Found 209 primers in BED file
Amplicons detected: 

Number of references in file: 1
MN908947.3
Using Region: MN908947.3

Found 431320 mapped reads
Found 0 unmapped reads
Sorted By Coordinate
-------
Processed 10% reads ... 
Processed 20% reads ... 
Processed 30% reads ... 
Processed 40% reads ... 
Processed 50% reads ... 
Processed 60% reads ... 
Processed 70% reads ... 
Processed 80% reads ... 
Processed 90% reads ... 
Processed 100% reads ... 

-------
Results: 
Primer Name	Read Count
SARS-CoV-2_56_LEFT	389
SARS-CoV-2_55_RIGHT	262
SARS-CoV-2_57_LEFT	274
SARS-CoV-2_56_RIGHT	481
SARS-CoV-2_58_LEFT	395
SARS-CoV-2_57_RIGHT	80
SARS-CoV-2_59_LEFT	585
SARS-CoV-2_58_RIGHT	210
SARS-CoV-2_60_LEFT	252
SARS-CoV-2_59_RIGHT	286
SARS-CoV-2_61_LEFT	313
SARS-CoV-2_60_RIGHT	73
SARS-CoV-2_62_LEFT	1
SARS-CoV-2_61_RIGHT	576
SARS-CoV-2_63_LEFT	131
SARS-CoV-2_62_RIGHT	467
SARS-CoV-2_64_LEFT	81
SARS-CoV-2_63_RIGHT	119
SARS-CoV-2_65_LEFT	353
SARS-CoV-2_64_RIGHT	101
SARS-CoV-2_66_LEFT	130
SARS-CoV-2_65_RIGHT	208
SARS-CoV-2_67_LEFT	97
SARS-CoV-2_66_RIGHT	153
SARS-CoV-2_68_LEFT	28
SARS-CoV-2_67_RIGHT	116
SARS-CoV-2_69_LEFT	84
SARS-CoV-2_68_RIGHT	143
SARS-CoV-2_70_LEFT	252
SARS-CoV-2_69_RIGHT	105
SARS-CoV-2_71_LEFT	24
SARS-CoV-2_70_RIGHT	259
SARS-CoV-2_72_LEFT	251
SARS-CoV-2_71_RIGHT	55
SARS-CoV-2_73_LEFT	1
SARS-CoV-2_72_RIGHT	402
SARS-CoV-2_74_LEFT	6
SARS-CoV-2_73_RIGHT	7
SARS-CoV-2_75_LEFT	346
SARS-CoV-2_74_RIGHT	18
SARS-CoV-2_76_LEFT	90
SARS-CoV-2_76_LEFT_alt1	32
SARS-CoV-2_75_RIGHT	85
SARS-CoV-2_77_LEFT	203
SARS-CoV-2_76_RIGHT	67
SARS-CoV-2_76_RIGHT_alt1	55
SARS-CoV-2_78_LEFT	171
SARS-CoV-2_77_RIGHT	227
SARS-CoV-2_79_LEFT	278
SARS-CoV-2_78_RIGHT	299
SARS-CoV-2_80_LEFT	140
SARS-CoV-2_79_RIGHT_alt1	243
SARS-CoV-2_79_RIGHT	135
SARS-CoV-2_81_LEFT	568
SARS-CoV-2_80_RIGHT	144
SARS-CoV-2_82_LEFT	300
SARS-CoV-2_81_RIGHT	524
SARS-CoV-2_83_LEFT	143
SARS-CoV-2_82_RIGHT	128
SARS-CoV-2_84_LEFT	225
SARS-CoV-2_83_RIGHT	96
SARS-CoV-2_85_LEFT	296
SARS-CoV-2_84_RIGHT	126
SARS-CoV-2_86_LEFT	129
SARS-CoV-2_85_RIGHT	459
SARS-CoV-2_87_LEFT	205
SARS-CoV-2_86_RIGHT	377
SARS-CoV-2_88_LEFT_alt1	28
SARS-CoV-2_88_LEFT	131
SARS-CoV-2_87_RIGHT	597
SARS-CoV-2_89_LEFT	50
SARS-CoV-2_89_LEFT_alt1	56
SARS-CoV-2_88_RIGHT	53
SARS-CoV-2_90_LEFT	24
SARS-CoV-2_89_RIGHT	95
SARS-CoV-2_89_RIGHT_alt1	30
SARS-CoV-2_91_LEFT	47
SARS-CoV-2_90_RIGHT_alt1	38
SARS-CoV-2_90_RIGHT	20
SARS-CoV-2_92_LEFT	740
SARS-CoV-2_91_RIGHT	87
SARS-CoV-2_93_LEFT	210
SARS-CoV-2_92_RIGHT	248
SARS-CoV-2_94_LEFT	270
SARS-CoV-2_93_RIGHT	118
SARS-CoV-2_95_LEFT	310
SARS-CoV-2_94_RIGHT	102
SARS-CoV-2_96_LEFT	335
SARS-CoV-2_95_RIGHT	246
SARS-CoV-2_97_LEFT	261
SARS-CoV-2_96_RIGHT	256
SARS-CoV-2_98_LEFT	165
SARS-CoV-2_97_RIGHT	297
SARS-CoV-2_99_LEFT	21
SARS-CoV-2_98_RIGHT	281
SARS-CoV-2_99_RIGHT	102

Trimmed primers from 10.69% (46089) of reads.
0.03% (110) of reads were quality trimmed below the minimum length of 30 bp and were not written to file.
89.31% (385231) of reads started outside of primer regions. Since the -e flag was given, these reads were written to file.
3.79% (16347) of reads had their insert size smaller than their read length
